0.021 	0.0025 	0.005 	-0.000106964 	1.42564e-05 	0
0.021 	0.0075 	0.005 	-0.000294116 	7.99795e-05 	0
0.021 	0.0125 	0.005 	-0.000450451 	0.000205369 	0
0.021 	0.0175 	0.005 	-0.000584707 	0.000370459 	0
0.021 	0.0225 	0.005 	-0.000710284 	0.00056988 	0
0.021 	0.0275 	0.005 	-0.000841368 	0.000804835 	0
0.021 	0.0325 	0.005 	-0.00099139 	0.00107964 	0
0.021 	0.0375 	0.005 	-0.00117272 	0.00140175 	0
0.021 	0.0425 	0.005 	-0.00139707 	0.00178168 	0
0.021 	0.0475 	0.005 	-0.00167619 	0.00223299 	0
0.021 	0.0525 	0.005 	-0.00202275 	0.00277238 	0
0.021 	0.0575 	0.005 	-0.00245106 	0.0034201 	0
0.021 	0.0625 	0.005 	-0.00297772 	0.00420051 	0
0.021 	0.0675 	0.005 	-0.00362205 	0.00514283 	0
0.021 	0.0725 	0.005 	-0.0044064 	0.00628202 	0
0.021 	0.0775 	0.005 	-0.00535603 	0.00765985 	0
0.021 	0.0825 	0.005 	-0.00649879 	0.00932605 	0
0.021 	0.0875 	0.005 	-0.00786403 	0.0113396 	0
0.021 	0.0925 	0.005 	-0.00948079 	0.0137699 	0
0.021 	0.0975 	0.005 	-0.0113747 	0.016698 	0
0.021 	0.1025 	0.005 	-0.0135631 	0.020217 	0
